n_components,estimator,axis,fit_fwhm_mm,fit_sigma_mm,fit_mu_mm,mean_abs_error_mm,population_std_mm,low_uncertainty_rmse_mm,low_uncertainty_fit_fwhm_mm,low_uncertainty_population_std_mm,low_uncertainty_selected_fraction,fit_ok,low_uncertainty_fit_ok,mean_3d_error_mm,median_3d_error_mm,p68_3d_error_mm
8,mean,z,3.1010213924860324,1.316781907637381,-0.019156633897227052,1.3573181616161463,1.9153316943158487,1.262654052296734,2.0922555148947657,1.2589119745673256,0.5,True,True,2.06912140504224,1.5557566695049014,2.2564662978986534
16,mean,z,2.9854861975941227,1.2677223768977166,0.07916136545607849,1.3256354358703086,1.872597846408919,1.1897957564603936,1.9455800258834757,1.1890876550255534,0.5,True,True,2.0492627249664834,1.5396734058090153,2.2620839357268148
1,median,z,3.8878164690564367,1.650877481552627,0.12304485270754861,1.5159221809270427,2.0416572948631857,1.4789111533010935,3.0545538869135638,1.4788781457632656,0.5,True,True,2.21503905322272,1.726992372914271,2.449939258315225
4,median,z,3.0484592953446263,1.2944625457938965,-0.017760980587591284,1.370093584560957,1.9524178782157358,1.344203950059343,2.042248289333062,1.3429686325216503,0.5,True,True,2.101366666991099,1.5664058668204548,2.2837982368276455
8,median,z,2.8363624670539367,1.2044001983243893,-0.016003301990819088,1.3367691097771124,1.928820100103425,1.273631203792647,1.8440308777488896,1.2718091403983267,0.5,True,True,2.0593815171935663,1.5169467086141433,2.2288831655415193
16,median,z,2.668421251715205,1.1330875803461593,0.05502767650572257,1.2915556744272219,1.877721182653671,1.1962013600453876,1.7034432312225294,1.1960257152633493,0.5,True,True,2.0287945363220494,1.4868101231754731,2.2115904164917985
1,mode,z,3.8849658688618227,1.6496670356101157,0.12280633382997563,1.5152291182710138,2.041143766016981,1.47847254889879,3.0522992587446662,1.4784408185940565,0.5,True,True,2.2145407334167975,1.7262314489736859,2.4494241837987962
4,mode,z,2.8976788069465043,1.2304368606991525,0.02374801996992553,1.4358432636358403,2.095539124665814,1.40909669834662,1.9107533137855133,1.4089857831176769,0.5,True,True,2.165857871002509,1.5840946050472366,2.3395332029155105
8,mode,z,2.6961590330036973,1.1448658314240754,0.03323634202419064,1.426757696243289,2.108908497967875,1.3706306053563428,1.728143922902037,1.370548440943338,0.5,True,True,2.1440651146948113,1.5418852970579606,2.3124773971161443
16,mode,z,2.426278922775193,1.0302670585032667,0.06276215375449909,1.374444905382089,2.061475264347926,1.2944596649934639,1.5637979077595752,1.2937676707328112,0.5,True,True,2.109257033709357,1.4973216974310553,2.2810865435797565
